,sex,age,address,famsize,Pstatus,Medu,Fedu,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,goout,health,absences,pjob_at_home,pjob_health,pjob_other,pjob_services,pjob_teacher,passed
0,0,18,0,0,1,4,4,0,2,2,0,1,0,0,0,1,1,0,4,3,4,3,6,1,0,0,0,0,0
1,0,17,0,0,0,1,1,1,1,2,0,0,1,0,0,0,1,1,5,3,3,3,4,0,0,1,0,0,0
2,0,15,0,1,0,1,1,0,1,2,3,1,0,1,0,1,1,1,4,3,2,3,10,1,0,0,0,0,1
3,0,15,0,0,0,4,2,0,1,3,0,0,1,1,1,1,1,1,3,2,2,5,2,0,1,0,0,0,1
4,0,16,0,0,0,3,3,1,1,2,0,0,1,1,0,1,1,0,4,3,2,5,4,0,0,1,0,0,1
5,1,16,0,1,0,4,3,0,1,2,0,0,1,1,1,1,1,1,5,4,2,5,10,0,0,0,1,0,1
6,1,16,0,1,0,2,2,0,1,2,0,0,0,0,0,1,1,1,4,4,4,3,0,0,0,1,0,0,1
7,0,17,0,0,1,4,4,0,2,2,0,1,1,0,0,1,1,0,4,1,4,1,6,0,0,1,0,0,0
8,1,15,0,1,1,3,2,0,1,2,0,0,1,1,0,1,1,1,4,2,2,1,0,0,0,0,1,0,1
9,1,15,0,0,0,3,4,0,1,2,0,0,1,1,1,1,1,1,5,5,1,5,0,0,0,1,0,0,1
10,0,15,0,0,0,4,4,0,1,2,0,0,1,1,0,1,1,1,3,3,3,2,0,0,0,0,0,1,0
11,0,15,0,0,0,2,1,1,3,3,0,0,1,0,1,1,1,1,5,2,2,4,4,0,0,1,0,0,1
12,1,15,0,1,0,4,4,1,1,1,0,0,1,1,1,1,1,1,4,3,3,5,2,0,0,0,1,0,1
13,1,15,0,0,0,4,3,0,2,2,0,0,1,1,0,1,1,1,5,4,3,3,2,0,0,0,0,1,1
14,1,15,0,0,1,2,2,2,1,3,0,0,1,0,0,1,1,1,4,5,2,3,0,0,0,1,0,0,1
15,0,16,0,0,0,4,4,0,1,1,0,0,1,0,0,1,1,1,4,4,4,2,4,0,1,0,0,0,1
16,0,16,0,0,0,4,4,0,1,3,0,0,1,1,1,1,1,1,3,2,3,2,6,0,0,0,1,0,1
17,0,16,0,0,0,3,3,0,3,2,0,1,1,0,1,1,1,0,5,3,2,4,4,0,0,1,0,0,1
18,1,17,0,0,0,3,2,0,1,1,3,0,1,0,1,1,1,1,5,5,5,5,16,0,0,0,1,0,0
19,1,16,0,1,0,4,3,1,1,1,0,0,0,1,1,1,1,1,3,1,3,5,4,0,0,1,0,0,1
20,1,15,0,0,0,4,3,0,1,2,0,0,0,0,0,1,1,1,4,4,1,1,0,0,0,0,0,1,1
21,1,15,0,0,0,4,4,1,1,1,0,0,1,1,0,1,1,1,5,4,2,5,0,0,1,0,0,0,1
22,1,16,0,1,0,4,2,0,1,2,0,0,0,0,1,1,1,1,4,5,1,5,2,0,0,0,0,1,1
23,1,16,0,1,0,2,2,0,2,2,0,0,1,0,1,1,1,1,5,4,4,5,0,0,0,1,0,0,1
24,0,15,1,0,0,2,4,0,1,3,0,1,1,1,1,1,1,1,4,3,2,5,2,0,0,0,1,0,0
25,0,16,0,0,0,2,2,0,1,1,2,0,1,1,0,0,1,1,1,2,2,5,14,0,0,0,1,0,0
26,1,15,0,0,0,2,2,0,1,1,0,0,1,1,0,1,1,1,4,2,2,5,2,0,0,1,0,0,1
27,1,15,0,0,0,4,2,0,1,1,0,0,0,1,0,1,1,1,2,2,4,1,4,0,1,0,0,0,1
28,1,16,0,1,1,3,4,0,1,2,0,1,1,0,1,1,1,1,5,3,3,5,4,0,0,0,1,0,1
29,1,16,0,0,0,4,4,0,1,2,0,0,1,1,1,1,1,1,4,4,5,5,16,0,0,0,0,1,1
30,1,15,0,0,0,4,4,0,1,2,0,0,1,1,0,0,1,1,5,4,2,5,0,0,1,0,0,0,1
31,1,15,0,0,0,4,4,0,2,2,0,0,1,0,1,1,1,1,4,3,1,5,0,0,0,0,1,0,1
32,1,15,1,0,0,4,3,0,1,2,0,0,1,0,1,1,1,1,4,5,2,5,0,0,0,0,0,1,1
33,1,15,0,1,0,3,3,0,1,2,0,0,0,0,1,0,1,1,5,3,2,2,0,0,0,1,0,0,1
34,1,16,0,0,0,3,2,0,1,1,0,0,1,1,0,0,1,1,5,4,3,5,0,0,0,1,0,0,1
35,0,15,0,0,0,2,3,1,2,1,0,0,1,0,1,1,1,0,3,5,1,5,0,0,0,1,0,0,0
36,1,15,0,1,0,4,3,0,1,3,0,0,1,0,1,1,1,1,5,4,3,4,2,0,0,0,0,1,1
37,1,16,1,0,1,4,4,0,2,3,0,0,1,0,1,1,1,1,2,4,3,5,7,0,0,1,0,0,1
38,0,15,1,0,0,3,4,0,1,3,0,1,1,1,1,1,1,1,4,3,2,5,2,0,0,0,1,0,1
39,0,15,1,0,0,2,2,0,1,1,0,1,1,1,1,1,1,0,4,3,1,2,8,1,0,0,0,0,1
40,0,16,0,1,0,2,2,0,2,2,1,0,1,0,1,0,1,1,3,3,3,3,25,0,0,1,0,0,1
41,1,15,0,1,0,4,4,2,1,1,0,0,1,0,0,0,1,1,5,4,3,5,8,0,0,1,0,0,1
42,1,15,0,0,0,4,4,1,1,2,0,0,1,0,1,1,1,1,4,3,3,5,2,0,0,0,0,1,1
43,1,15,0,0,0,2,2,1,1,1,0,1,1,0,0,1,1,1,5,4,1,1,0,0,0,0,1,0,1
44,0,16,0,1,0,2,2,1,2,2,1,1,0,0,1,1,1,1,4,3,3,5,14,1,0,0,0,0,0
45,0,15,0,1,1,4,3,0,1,2,0,1,1,1,1,1,1,1,5,2,2,5,8,0,0,1,0,0,0
46,0,16,0,1,1,3,3,0,1,2,0,0,1,0,0,1,1,1,2,3,5,3,12,0,0,1,0,0,1
47,1,16,0,0,0,4,3,0,1,4,0,0,0,0,1,1,1,1,4,2,2,2,4,0,1,0,0,0,1
48,1,15,0,0,0,4,2,0,1,2,0,0,1,1,0,1,1,0,4,3,3,5,2,0,0,0,0,1,1
49,0,15,0,0,0,4,4,1,1,2,1,1,1,0,1,0,1,1,4,4,4,3,2,0,0,0,0,1,0
50,0,16,0,1,0,2,2,0,3,2,0,0,1,1,0,1,1,1,4,3,3,4,2,0,0,0,1,0,1
51,0,15,0,1,0,4,2,0,1,2,0,0,1,1,0,1,1,1,4,3,3,5,2,0,1,0,0,0,1
52,1,15,0,1,1,4,2,1,2,1,1,0,0,0,0,1,1,0,5,5,5,5,6,0,1,0,0,0,1
53,0,15,0,0,0,4,4,0,1,1,0,1,1,1,0,1,1,1,3,3,4,5,0,0,0,0,1,0,1
54,0,15,0,1,1,3,3,0,1,1,0,0,0,1,0,1,1,1,5,3,4,1,6,0,0,1,0,0,1
55,0,16,0,0,1,2,1,0,1,2,0,0,0,1,1,1,1,1,5,3,4,2,8,0,0,1,0,0,1
56,0,15,0,0,1,4,3,0,1,2,0,0,1,1,1,1,1,1,4,3,2,1,0,0,0,0,1,0,1
57,1,15,0,0,0,4,4,0,1,2,0,0,1,0,1,1,1,0,3,2,2,5,4,0,0,0,0,1,1
58,1,15,0,1,0,1,2,1,1,2,0,1,1,0,1,1,1,1,4,3,2,5,2,1,0,0,0,0,0
59,0,16,0,0,0,4,2,0,1,2,0,0,1,0,0,1,1,1,4,2,3,5,2,0,0,0,1,0,1
60,0,16,1,0,0,4,4,0,1,2,0,0,1,0,1,1,1,0,2,4,4,4,6,0,1,0,0,0,1
61,0,16,0,0,0,1,1,1,4,1,0,1,1,0,1,0,1,1,5,5,5,5,6,0,0,0,1,0,1
62,0,16,0,1,0,1,2,1,1,2,0,1,0,0,1,1,1,1,4,4,3,1,4,0,0,0,1,0,0
63,0,16,0,0,0,4,3,0,1,3,0,1,1,1,1,1,1,1,3,4,4,4,2,0,0,0,0,1,0
64,0,15,0,1,0,4,3,1,1,2,0,1,0,0,1,1,1,1,4,4,4,2,0,0,0,0,1,0,1
65,0,16,0,1,0,4,3,0,3,2,0,0,1,0,1,1,1,1,5,4,3,1,2,0,0,0,0,1,1
66,1,15,0,0,1,4,4,0,1,4,0,0,1,0,1,0,1,1,1,3,3,3,4,0,0,1,0,0,1
67,0,16,0,0,0,3,1,0,1,4,0,1,1,1,0,1,1,1,4,3,3,5,4,0,0,0,1,0,0
